,precision,recall,f1-score,support
aquarium_fish,0.9938398357289527,0.968,0.9807497467071935,500.0
bear,0.8613445378151261,0.82,0.8401639344262296,500.0
bed,0.9976635514018691,0.854,0.9202586206896551,500.0
beetle,0.9710743801652892,0.94,0.9552845528455285,500.0
bottle,0.9956331877729258,0.912,0.9519832985386222,500.0
boy,0.8579136690647482,0.954,0.9034090909090909,500.0
bus,0.9802631578947368,0.894,0.9351464435146443,500.0
camel,0.9661733615221987,0.914,0.9393627954779034,500.0
castle,0.9978401727861771,0.924,0.9595015576323987,500.0
cattle,0.9975062344139651,0.8,0.8879023307436182,500.0
chimpanzee,0.960552268244576,0.974,0.9672293942403178,500.0
cloud,0.9082217973231358,0.95,0.9286412512218963,500.0
couch,0.88268156424581,0.948,0.914175506268081,500.0
crocodile,0.8048780487804879,0.924,0.8603351955307262,500.0
dinosaur,0.9531914893617022,0.896,0.9237113402061856,500.0
elephant,0.9498956158663883,0.91,0.9295199182839632,500.0
forest,0.9924242424242424,0.786,0.8772321428571429,500.0
girl,0.9832535885167464,0.822,0.8954248366013071,500.0
house,0.9468302658486708,0.926,0.936299292214358,500.0
keyboard,0.9915074309978769,0.934,0.9618949536560246,500.0
lawn_mower,0.9878542510121457,0.976,0.9818913480885312,500.0
lion,0.9566074950690335,0.97,0.9632571996027804,500.0
lobster,0.8528368794326241,0.962,0.9041353383458646,500.0
maple_tree,0.9441233140655106,0.98,0.9617271835132483,500.0
mountain,0.9891067538126361,0.908,0.9468196037539103,500.0
mushroom,0.9434697855750487,0.968,0.9555774925962488,500.0
orange,0.9610894941634242,0.988,0.9743589743589743,500.0
otter,0.5941644562334217,0.896,0.7145135566188198,500.0
pear,0.9705882352941176,0.924,0.9467213114754099,500.0
pine_tree,0.9363817097415507,0.942,0.9391824526420738,500.0
plate,0.9504761904761905,0.998,0.9736585365853659,500.0
porcupine,0.5670103092783505,0.99,0.721048798252003,500.0
rabbit,0.9085239085239085,0.874,0.890927624872579,500.0
ray,0.8399280575539568,0.934,0.884469696969697,500.0
rocket,0.9813664596273292,0.948,0.9643947100712106,500.0
sea,0.9904988123515439,0.834,0.9055374592833875,500.0
shark,0.9320594479830149,0.878,0.9042224510813595,500.0
skunk,0.9817073170731707,0.966,0.9737903225806452,500.0
snail,0.9474747474747475,0.938,0.942713567839196,500.0
spider,0.9789473684210527,0.93,0.9538461538461539,500.0
streetcar,0.8697183098591549,0.988,0.9250936329588014,500.0
sweet_pepper,1.0,0.826,0.904709748083242,500.0
tank,0.979381443298969,0.95,0.9644670050761421,500.0
television,0.9852941176470589,0.938,0.9610655737704918,500.0
tractor,0.9738430583501007,0.968,0.9709127382146439,500.0
trout,0.948,0.948,0.948,500.0
turtle,0.9359504132231405,0.906,0.9207317073170732,500.0
whale,0.8903107861060329,0.974,0.9302769818529131,500.0
wolf,0.9846827133479212,0.9,0.9404388714733543,500.0
worm,0.9845132743362832,0.89,0.9348739495798319,500.0
accuracy,0.92284,0.92284,0.92284,0.92284
macro avg,0.9351719501901411,0.9228400000000001,0.9254318038653767,25000.0
weighted avg,0.9351719501901413,0.92284,0.9254318038653768,25000.0
